tale_id;episode_id;sentence;num_words;num_clauses;dep_distance;Eventfulness;I
1;1;Cuentan que en un tiempo muy lejano el rey decidió pasear por sus dominios, que incluían una pequeña aldea en la que vivía un molinero junto con su bella hija.;32;5;496;0.3333333333;165.3333333333
1;1;"Al interesarse el rey por ella, el molinero mintió para darse importancia: ""Además de bonita, es capaz de convertir la paja en oro hilándola con una rueca.""";33;4;528;0.3333333333;176
1;1;El rey, francamente contento con dicha cualidad de la muchacha, no lo dudó un instante y la llevó con él a palacio.;25;4;160;0.3333333333;53.3333333333
1;2;"Una vez en el castillo, el rey ordenó que condujesen a la hija del molinero a una habitación repleta de paja, donde había también una rueca: ""Tienes hasta el alba para demostrarme que tu padre decía la verdad y convertir esta paja en oro.";49;9;796;0.5;398
1;2;"De lo contrario, serás desterrada.""";8;2;28;0.5;14
1;3;La pobre niña lloró desconsolada, pero he aquí que apareció un estrafalario enano que le ofreció hilar la paja en oro a cambio de su collar.;28;5;226;0.5;113
1;3;La hija del molinero le entregó la joya y... zis-zas, zis-zas, el enano hilaba la paja que se iba convirtiendo en oro en las canillas, hasta que no quedó ni una brizna de paja y la habitación refulgía por el oro.;46;10;949;0.5;474.5
1;4;"Cuando el rey vio la proeza, guiado por la avaricia, espetó: ""Veremos si puedes hacer lo mismo en esta habitación.""";26;6;199;0.5;99.5
1;4;Y le señaló una estancia más grande y más repleta de paja que la del día anterior.;18;4;137;0.5;68.5
1;5;"La muchacha estaba desesperada, pues creía imposible cumplir la tarea pero, como el día anterior, apareció el enano saltarín: ""¿Qué me das si hilo la paja para convertirla en oro?""";37;9;598;0.0625;37.375
1;5;preguntó al hacerse visible.;5;1;10;0.0625;0.625
1;5;"""Sólo tengo esta sortija.""";7;1;21;0.0625;1.3125
1;5;Dijo la doncella tendiéndole el anillo.;7;1;21;0.0625;1.3125
1;5;"""Empecemos pues,"" respondió el enano.";9;3;21;0.0625;1.3125
1;5;Y zis-zas, zis-zas, toda la paja se convirtió en oro hilado.;14;4;91;0.0625;5.6875
1;5;"Pero la codicia del rey no tenía fin, y cuando comprobó que se habían cumplido sus órdenes, anunció: ""Repetirás la hazaña una vez más, si lo consigues, te haré mi esposa.""";39;11;605;0.0625;37.8125
1;5;Pues pensaba que, a pesar de ser hija de un molinero, nunca encontraría mujer con dote mejor.;20;5;172;0.0625;10.75
1;5;"Una noche más lloró la muchacha, y de nuevo apareció el grotesco enano: ""¿Qué me darás a cambio de solucionar tu problema?""";27;4;207;0.0625;12.9375
1;5;Preguntó, saltando, a la chica.;8;3;28;0.0625;1.75
1;5;"""No tengo más joyas que ofrecerte,"" y pensando que esta vez estaba perdida, gimió desconsolada.";20;6;142;0.0625;8.875
1;5;"""Bien, en ese caso, me darás tu primer hijo,"" demandó el enanillo.";18;4;81;0.0625;5.0625
1;5;"Aceptó la muchacha: ""Quién sabe cómo irán las cosas en el futuro.""";16;3;70;0.0625;4.375
1;5;"- ""Dijo para sus adentros.""";8;2;28;0.0625;1.75
1;5;Y como ya había ocurrido antes, la paja se iba convirtiendo en oro a medida que el extraño ser la hilaba.;23;6;253;0.0625;15.8125
1;5;Cuando el rey entró en la habitación, sus ojos brillaron más aún que el oro que estaba contemplando, y convocó a sus súbditos para la celebración de los esponsales.;32;8;286;0.0625;17.875
1;6;Vivieron ambos felices y al cabo de una año, tuvieron un precioso retoño.;15;3;72;0.1428571429;10.2857142857
1;6;La ahora reina había olvidado el incidente con la rueca, la paja, el oro y el enano, y por eso se asustó enormemente cuando una noche apareció el duende saltarín reclamando su recompensa.;37;7;631;0.1428571429;90.1428571429
1;6;"""Por favor, enano, por favor, ahora poseo riqueza, te daré todo lo que quieras.""";21;6;210;0.1428571429;30
1;6;¿Cómo puedes comparar el valor de una vida con algo material?;12;1;48;0.1428571429;6.8571428571
1;6;"Quiero a tu hijo,"" exigió el desaliñado enano.";11;2;55;0.1428571429;7.8571428571
1;6;"Pero tanto rogó y suplicó la mujer, que conmovió al enano: ""Tienes tres días para averiguar cuál es mi nombre, si lo aciertas, dejaré que te quedes con el niño.";36;10;326;0.1428571429;46.5714285714
1;6;Por más que pensó y se devanó los sesos la molinerita para buscar el nombre del enano, nunca acertaba la respuesta correcta.;24;4;276;0.1428571429;39.4285714286
1;7;Al tercer día, envió a sus exploradores a buscar nombres diferentes por todos los confines del mundo.;19;2;115;0.5;57.5
1;7;"De vuelta, uno de ellos contó la anécdota de un duende al que había visto saltar a la puerta de una pequeña cabaña cantando:""Hoy tomo vino,y mañana cerveza,después al niño sin falta traerán.Nunca, se rompan o no la cabeza,el nombre Rumpelstiltskin adivinarán!""";55;12;877;0.5;438.5
1;8;"Cuando volvió el enano la tercera noche, y preguntó su propio nombre a la reina, ésta le contestó: ""¡Te llamas Rumpelstiltskin!";26;6;199;0.2;39.8
1;8;"""""¡No puede ser!""";7;1;21;0.2;4.2
1;8;"gritó él, ""¡no lo puedes saber!";9;2;29;0.2;5.8
1;8;"¡Te lo ha dicho el diablo!""";8;1;28;0.2;5.6
1;8;Y tanto y tan grande fue su enfado, que dio una patada en el suelo que le dejó la pierna enterrada hasta la mitad, y cuando intentó sacarla, el enano se partió por la mitad.;39;11;741;0.2;148.2
2;1;Érase una vez una vieja cabra que tenía siete cabritas, a las que quería tan tiernamente como una madre puede querer a sus hijos.;26;5;199;0.1428571429;28.4285714286
2;1;Un día quiso salir al bosque a buscar comida y llamó a sus pequeñuelas.;15;2;65;0.1428571429;9.2857142857
2;1;"""Hijas mías,"" les dijo, ""me voy al bosque; mucho ojo con el lobo, pues si entra en la casa os devorará a todas sin dejar ni un pelo.";36;8;480;0.1428571429;68.5714285714
2;1;"El muy bribón suele disfrazarse, pero lo conoceréis enseguida por su bronca voz y sus negras patas.""";20;4;190;0.1428571429;27.1428571429
2;1;"Las cabritas respondieron: ""Tendremos mucho cuidado, madrecita.";11;3;55;0.1428571429;7.8571428571
2;1;"Podéis marcharos tranquila.""";5;1;10;0.1428571429;1.4285714286
2;1;Despidióse la vieja con un balido y, confiada, emprendió su camino.;14;4;91;0.1428571429;13
2;2;"No había transcurrido mucho tiempo cuando llamaron a la puerta y una voz dijo: ""Abrid, hijitas.";20;5;112;0.0666666667;7.4666666667
2;2;"Soy vuestra madre, que estoy de vuelta y os traigo algo para cada una.""";17;4;136;0.0666666667;9.0666666667
2;2;Pero las cabritas comprendieron, por lo rudo de la voz, que era el lobo.;17;5;121;0.0666666667;8.0666666667
2;2;"""No te abriremos,"" exclamaron, ""no eres nuestra madre.";14;3;91;0.0666666667;6.0666666667
2;2;"Ella tiene una voz suave y cariñosa, y la tuya es bronca: eres el lobo.""";19;5;115;0.0666666667;7.6666666667
2;2;Fuese éste a la tienda y se compró un buen trozo de yeso.;14;2;91;0.0666666667;6.0666666667
2;2;Se lo comió para suavizarse la voz y volvió a la casita.;13;2;67;0.0666666667;4.4666666667
2;2;"Llamando nuevamente a la puerta: ""Abrid hijitas,"" dijo, ""vuestra madre os trae algo a cada una.""";24;4;254;0.0666666667;16.9333333333
2;2;"Pero el lobo había puesto una negra pata en la ventana, y al verla las cabritas, exclamaron: ""No, no te abriremos; nuestra madre no tiene las patas negras como tú.";37;9;442;0.0666666667;29.4666666667
2;2;"¡Eres el lobo!""";5;1;7;0.0666666667;0.4666666667
