Tale;Fractal Dimension (Letters);Fractal Dimension (Clauses);Fractal Dimension (Sentences);Fractal Dimension (Episodes)
Tale 1;0.9778;0.8923;1.1448;1.7645
Tale 2;0.9704;1.0711;1.1628;1.8908
Tale 3;0.9856;0.9569;1.0931;1.8278
Tale 4;0.9716;1.0262;1.1259;1.3383
Tale 5;0.9691;1.0322;1.1537;1.4491
Tale 6;0.9709;1.1457;1.0188;1.6747
Tale 7;0.9671;1.1449;1.0306;1.2361
Tale 8;0.9623;1.0701;1.1863;1.8135
Tale 9;0.9697;1.0507;1.0945;1.313
Tale 10;0.9661;1.166;1.2643;2.012
Tale 11;0.9744;1.0338;1.321;1.9423
Tale 12;0.9706;1.1736;0.8969;1.6396
Tale 13;0.9753;1.2999;1.4119;1.4659
Tale 14;0.9632;1.2172;1.7469;2.0974
Tale 15;0.9789;1.2364;1.305;1.8057
Tale 16;0.9733;1.0179;1.3312;1.7785
Tale 17;0.9763;1.2317;0.4544;2.0973
Tale 18;0.9777;0.8571;1.2367;1.6594
Tale 19;0.9718;1.1652;1.1084;1.8659
Tale 20;0.9682;1.0462;1.3914;1.955
Tale 21;0.9824;1.186;0.6663;2.1198
Tale 22;0.9734;1.0593;0.8682;1.2402
Tale 23;0.9797;0.9949;1.0343;1.7297
Tale 24;0.9713;1.1684;1.0046;1.6012
Tale 25;0.9664;1.0453;0.944;1.2663
;0.97254;1.09156;1.11984;1.70336
