Tale;Fractal Dimension (Letters);Fractal Dimension (Clauses);Fractal Dimension (Sentences);Fractal Dimension (Episodes)
Tale 1;0.9991;1.3261;1.1424;1.3701
Tale 2;1.0025;1.1406;1.1681;1.6263
Tale 3;0.9889;0.9868;1.1961;1.6155
Tale 4;0.9951;1.0871;1.073;1.8856
Tale 5;0.998;1.2172;1.441;1.1726
Tale 6;1.0016;1.149;1.0967;2.4135
Tale 7;1.0029;0.935;1.26;1.8876
Tale 8;1.0068;0.8884;1.1607;1.947
Tale 9;0.9919;0.9726;1.1995;2.4133
Tale 10;1.006;0.9872;1.1593;1.9575
Tale 11;1.0023;0.9301;0.9981;1.585
Tale 12;0.9906;0.9498;1.1015;2.4142
Tale 13;0.9852;1.1016;1.1908;1.3317
Tale 14;0.9937;1.0312;1.0985;1.8724
Tale 15;1.0012;1.0949;1.253;1.6624
Tale 16;1.0215;1.1402;0.7495;1.9679
Tale 17;0.9998;1.2925;1.4133;2.4243
Tale 18;1.0049;1.014;1.0753;1.8839
Tale 19;1.0103;1.1328;0.9902;1.7874
Tale 20;0.9903;1.118;1.3145;2.4148
Tale 21;1.0051;1.1469;1.1845;2.4138
Tale 22;0.9959;0.9928;1.2371;1.7738
;0.9997090909;1.0743090909;1.1592318182;1.9009363636
