tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
1,6,71,508,3142,448.85714285714283,44.25352112676056,6.18503937007874,1.06496062992126,7.619718309859155,77.28571428571429,0.09859154929577464,0.7512398333663955,9.224094861660078
2,18,135,1005,6556,345.05263157894734,48.56296296296296,6.523383084577114,0.3024875621890547,2.251851851851852,16.0,0.14074074074074075,0.31692729766803845,9.610348706411699
3,18,152,1091,6906,363.4736842105263,45.43421052631579,6.329972502291476,0.1924839596700275,1.381578947368421,11.052631578947368,0.125,0.17269736842105263,10.214380750176929
4,9,53,473,3182,318.2,60.0377358490566,6.7272727272727275,0.7758985200845666,6.9245283018867925,36.7,0.18867924528301888,1.3065147739409044,9.735481927710847
5,7,39,375,2500,312.5,64.1025641025641,6.666666666666667,0.336,3.230769230769231,15.75,0.20512820512820512,0.6627218934911242,9.28881827209533
6,10,44,424,2838,258.0,64.5,6.693396226415095,0.9575471698113207,9.227272727272727,36.90909090909091,0.25,2.3068181818181817,10.786215993404777
7,6,79,599,4016,573.7142857142857,50.835443037974684,6.704507512520868,0.9031719532554258,6.848101265822785,77.28571428571429,0.08860759493670886,0.6067937830475886,9.135950769230767
8,20,110,881,5780,275.23809523809524,52.54545454545455,6.56072644721907,1.778660612939841,14.245454545454546,74.61904761904762,0.19090909090909092,2.7195867768595043,10.307147595356547
9,7,50,367,2400,300.0,48.0,6.539509536784741,1.1825613079019073,8.68,54.25,0.16,1.3888,9.310891089108907
10,4,42,376,2570,514.0,61.19047619047619,6.835106382978723,0.7978723404255319,7.142857142857143,60.0,0.11904761904761904,0.8503401360544217,8.939279778393349
11,8,52,489,3168,352.0,60.92307692307692,6.478527607361963,2.2699386503067487,21.346153846153847,123.33333333333333,0.17307692307692307,3.6945266272189348,9.785891472868219
12,3,54,424,2850,712.5,52.77777777777778,6.721698113207547,1.0872641509433962,8.537037037037036,115.25,0.07407407407407407,0.6323731138545953,9.286143344709895
13,17,172,1266,7684,426.8888888888889,44.674418604651166,6.069510268562401,0.6879936808846762,5.063953488372093,48.388888888888886,0.10465116279069768,0.5299486208761492,6.990733019502354
14,20,146,1027,7284,346.85714285714283,49.89041095890411,7.092502434274587,0.16455696202531644,1.1575342465753424,8.047619047619047,0.14383561643835616,0.16649465190467252,10.519222780569514
15,13,107,839,5446,389.0,50.89719626168224,6.491060786650775,0.3182359952324195,2.4953271028037385,19.071428571428573,0.1308411214953271,0.3264913966285265,9.647602131438717
16,3,6,96,542,135.5,90.33333333333333,5.645833333333333,3.4895833333333335,55.833333333333336,83.75,0.6666666666666666,37.22222222222222,8.31309734513274
17,10,96,626,4484,407.6363636363636,46.708333333333336,7.1629392971246,1.1996805111821087,7.822916666666667,68.27272727272727,0.11458333333333333,0.8963758680555556,9.02221035771489
18,3,11,116,704,176.0,64.0,6.068965517241379,13.172413793103448,138.9090909090909,382.0,0.36363636363636365,50.51239669421488,7.263388704318935
19,11,97,777,5388,449.0,55.54639175257732,6.934362934362935,1.3230373230373231,10.597938144329897,85.66666666666667,0.12371134020618557,1.3110851312573069,11.512770658418031
20,19,81,709,4648,232.4,57.382716049382715,6.555712270803949,0.3554301833568406,3.111111111111111,12.6,0.24691358024691357,0.7681755829903978,10.543051546391755
21,11,193,1255,8704,725.3333333333334,45.09844559585492,6.935458167330677,0.1800796812749004,1.1709844559585492,18.833333333333332,0.06217616580310881,0.07280732368654191,9.448096607245539
22,18,129,894,6048,318.3157894736842,46.883720930232556,6.76510067114094,0.8031319910514542,5.565891472868217,37.78947368421053,0.14728682170542637,0.8197824649960941,9.417882938978831
23,7,80,531,3762,470.25,47.025,7.084745762711864,0.519774011299435,3.45,34.5,0.1,0.34500000000000003,9.631206784083492
24,12,201,1368,8784,675.6923076923077,43.701492537313435,6.421052631578948,0.25877192982456143,1.7611940298507462,27.23076923076923,0.06467661691542288,0.11390807158238657,8.241919720767886
25,5,37,301,1968,328.0,53.189189189189186,6.538205980066445,3.176079734219269,25.83783783783784,159.33333333333334,0.16216216216216217,4.189919649379109,10.49601918465228
,,,,,,,,,,,,,
tale_id,episode_id,sentence,num_words,num_clauses,dep_distance,Eventfulness,I
1,1,"Es war einmal ein kleines süßes Mädchen, das hatte jedermann lieb, der sie nur ansah, am allerliebsten aber ihre Großmutter, die wusste gar nicht, was sie alles dem Kinde geben sollte.",37,8,511,0.04,20.44
1,1,"Einmal schenkte sie ihm ein Käppchen von rotem Samt, und weil ihm das so wohl stand, und es nichts anders mehr tragen wollte, hieß es nur das Rotkäppchen.",32,8,298,0.04,11.92
1,1,"Eines Tages sprach seine Mutter zu ihm: ""Komm, Rotkäppchen, da hast du ein Stück Kuchen und eine Flasche Wein, bring das der Großmutter hinaus; sie ist krank und schwach und wird sich daran laben.",41,10,744,0.04,29.76
1,1,"Mach dich auf, bevor es heiß wird, und wenn du hinauskommst, so geh hübsch sittsam und lauf nicht vom Wege ab, sonst fällst du und zerbrichst das Glas, und die Großmutter hat nichts.",39,12,605,0.04,24.2
1,1,"Und wenn du in ihre Stube kommst, so vergiss nicht guten Morgen zu sagen und guck nicht erst in allen Ecken herum!",24,5,254,0.04,10.16
1,1,"""""Ich will schon alles richtig machen,"" sagte Rotkäppchen zur Mutter, und gab ihr die Hand darauf.",22,4,163,0.04,6.5200000000000005
1,1,"Die Großmutter aber wohnte draußen im Wald, eine halbe Stunde vom Dorf.",14,3,61,0.04,2.44
1,1,"Wie nun Rotkäppchen in den Wald kam, begegnete ihm der Wolf.",13,3,78,0.04,3.12
1,1,"Rotkäppchen aber wusste nicht, was das für ein böses Tier war, und fürchtete sich nicht vor ihm.",20,5,120,0.04,4.8
1,1,"""Guten Tag, Rotkäppchen!""",7,2,21,0.04,0.84
1,1,sprach er.,3,1,3,0.04,0.12
1,1,"""Schönen Dank, Wolf!""",7,2,21,0.04,0.84
1,1,"- ""Wo hinaus so früh, Rotkäppchen?""",10,4,45,0.04,1.8
1,1,"- ""Zur Großmutter.""",6,2,15,0.04,0.6
1,1,"- ""Was trägst du unter der Schürze?""",10,2,45,0.04,1.8
1,1,"- ""Kuchen und Wein.",6,3,15,0.04,0.6
1,1,"Gestern haben wir gebacken, da soll sich die kranke und schwache Großmutter etwas zugut tun und sich damit stärken.""",22,5,193,0.04,7.72
1,1,"- ""Rotkäppchen, wo wohnt deine Großmutter?""",10,4,25,0.04,1.0
1,1,"- ""Noch eine gute Viertelstunde weiter im Wald, unter den drei großen Eichbäumen, da steht ihr Haus, unten sind die Nusshecken, das wirst du ja wissen,"" sagte Rotkäppchen.",36,9,534,0.04,21.36
1,1,"Der Wolf dachte bei sich: Das junge, zarte Ding, das ist ein fetter Bissen, der wird noch besser schmecken als die Alte.",27,7,263,0.04,10.52
1,1,"Du musst es listig anfangen, damit du beide schnappst.",11,2,55,0.04,2.2
1,1,"Da ging er ein Weilchen neben Rotkäppchen her, dann sprach er: ""Rotkäppchen, sieh einmal die schönen Blumen, die ringsumher stehen.",26,7,301,0.04,12.040000000000001
1,1,Warum guckst du dich nicht um?,7,2,21,0.04,0.84
1,1,"Ich glaube, du hörst gar nicht, wie die Vöglein so lieblich singen?",15,4,105,0.04,4.2
1,1,"Du gehst ja für dich hin, als wenn du zur Schule gingst, und ist so lustig haussen in dem Wald.""",24,6,156,0.04,6.24
1,2,"Rotkäppchen schlug die Augen auf, und als es sah, wie die Sonnenstrahlen durch die Bäume hin und her tanzten und alles voll schöner Blumen stand, dachte es: Wenn ich der Großmutter einen frischen Strauß mitbringe, der wird ihr auch Freude machen; es ist so früh am Tag, dass ich doch zu rechter Zeit ankomme, lief vom Wege ab in den Wald hinein und suchte Blumen.",74,18,2181,0.1111111111111111,242.33333333333331
1,2,"Und wenn es eine gebrochen hatte, meinte es, weiter hinaus stände eine schönere, und lief danach und geriet immer tiefer in den Wald hinein.",28,8,352,0.1111111111111111,39.11111111111111
1,2,Der Wolf aber ging geradewegs nach dem Haus der Großmutter und klopfte an die Türe.,16,3,84,0.1111111111111111,9.333333333333332
1,2,"""Wer ist draußen?""",6,2,15,0.1111111111111111,1.6666666666666665
1,2,"- ""Rotkäppchen, das bringt Kuchen und Wein, mach auf!""",14,5,55,0.1111111111111111,6.111111111111111
1,2,"- ""Drück nur auf die Klinke!""",9,2,36,0.1111111111111111,4.0
1,2,"rief die Großmutter, ""ich bin zu schwach und kann nicht aufstehen.""",15,3,105,0.1111111111111111,11.666666666666666
