tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI,D_h,avg_homothety,hurst_dep_distance,hurst_eventfulness,hurst_I,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences),Fractal Dimension (Episodes)
1.0,12.0,225.0,1706.0,9554.0,734.9230769230769,42.46222222222222,5.600234466588511,1.1711606096131302,8.88,153.69230769230768,0.0577777777777777,0.5130666666666667,5.144879189399841,-0.3657402296390153,2.085528635317616,0.3380490605711924,0.6776871190766596,0.5275302061069566,0.9417,1.0029,1.3021,1.034,1.2788
2.0,7.0,35.0,384.0,2258.0,282.25,64.51428571428572,5.880208333333333,0.9869791666666666,10.82857142857143,47.375,0.2285714285714285,2.4751020408163265,6.4575336787564765,-0.3594910320999669,2.3466517857142857,0.7158724789579168,0.7051461095768148,0.642921628534927,0.9387,1.2631,1.1899,1.346,0.0857
3.0,5.0,55.0,598.0,3330.0,555.0,60.54545454545455,5.568561872909699,0.3026755852842809,3.290909090909091,30.166666666666668,0.109090909090909,0.3590082644628099,6.308373702422145,-0.3604617005666546,2.294446133576568,0.519173867423309,0.4623052039743207,0.8523598391077413,0.9421,0.9891,0.8231,1.0753,1.3166
4.0,9.0,126.0,1276.0,7504.0,750.4,59.55555555555556,5.8808777429467085,0.3346394984326019,3.388888888888889,42.7,0.0793650793650793,0.2689594356261022,6.809243483788933,-0.3516126761163214,2.2374732547146343,0.5539241658790723,0.6086882307266724,0.4613839023585083,0.937,1.1613,1.107,0.7748,0.2094
5.0,2.0,30.0,330.0,1892.0,630.6666666666666,63.06666666666667,5.733333333333333,2.5303030303030303,27.83333333333333,278.3333333333333,0.1,2.783333333333333,5.78358353510896,-0.3548730257707199,2.930303030303031,0.4980771569635291,1.0837870508008416,0.7349620958594837,0.9813,0.8364,0.8856,1.113,1.8331
6.0,5.0,53.0,446.0,2636.0,439.3333333333333,49.735849056603776,5.910313901345291,4.302690582959642,36.20754716981132,319.8333333333333,0.1132075471698113,4.098967604129584,6.252451071761417,-0.3600306002164942,2.4414727698338834,0.6005915072287779,0.7308851595140604,0.8130412616955572,0.9252,1.3101,0.8246,1.0767,0.5939
7.0,4.0,81.0,428.0,2490.0,498.0,30.74074074074074,5.817757009345795,2.1401869158878504,11.308641975308642,183.2,0.0617283950617283,0.6980643194634965,4.438766169154228,-0.3738293078311305,2.5077256643975234,0.5999987813365052,0.8405413133421109,0.6368619319185901,0.955,1.1522,1.2169,1.0774,-0.0787
8.0,21.0,87.0,792.0,4874.0,221.54545454545453,56.02298850574713,6.154040404040404,0.7095959595959596,6.459770114942529,25.545454545454547,0.2528735632183908,1.6335050865371914,5.392835820895517,-0.3603040345263406,2.2699373317189413,0.5316213200766143,0.7739254518630527,0.837474106658393,0.9357,0.5187,0.8793,1.0268,1.2724
9.0,12.0,80.0,826.0,4706.0,362.0,58.825,5.697336561743342,0.397094430992736,4.1,25.23076923076923,0.1625,0.66625,7.080501756146511,-0.3624943763605031,2.143822302932473,0.7695375684896577,0.6528590816098754,0.5939282414523814,0.9336,0.9658,1.0201,0.8139,1.372
10.0,6.0,82.0,706.0,4318.0,616.8571428571429,52.65853658536585,6.11614730878187,0.3087818696883853,2.658536585365854,31.142857142857142,0.0853658536585365,0.226948245092207,5.687043879907616,-0.3516049668205085,2.4456727853397515,0.5972458273671621,0.5633465134787257,0.6144405192770445,0.9633,1.0674,0.9444,1.2714,0.3085
11.0,29.0,95.0,940.0,5738.0,191.26666666666668,60.4,6.104255319148936,2.974468085106383,29.431578947368426,93.2,0.3157894736842105,9.294182825484764,5.527472164948456,-0.3614370832271837,2.243866728449885,0.3626860424270672,0.9835058421140936,0.8184003971264262,0.9329,1.1331,1.2991,1.2633,0.8357
12.0,21.0,149.0,1314.0,7860.0,357.27272727272725,52.75167785234899,5.981735159817352,0.4710806697108067,4.154362416107382,28.13636363636364,0.1476510067114094,0.6133957929822981,5.796927692769273,-0.3593715604515454,2.175874971360859,0.6369788331712661,0.8447668002426469,0.8351309106277979,0.951,1.2673,0.8198,0.8084,1.3169
13.0,8.0,77.0,698.0,4452.0,494.6666666666667,57.81818181818182,6.378223495702006,0.3839541547277937,3.4805194805194803,29.77777777777778,0.1168831168831168,0.4068139652555236,6.424379562043793,-0.3469256580580054,2.467566578598097,0.559925037552977,0.6727615491882512,0.6566505652195339,0.9355,1.1996,1.0472,0.7945,0.5267
14.0,2.0,33.0,202.0,1108.0,369.3333333333333,33.57575757575758,5.485148514851486,0.3564356435643564,2.1818181818181817,24.0,0.0909090909090909,0.1983471074380165,6.0775475687103615,-0.3813198080138595,2.827332733273328,0.6650710550169735,0.5596568321428018,0.6463354719498186,0.9428,1.0467,1.0945,1.3112,1.8556
,,,,,,,,,,,,,,,,,,,,,,,
