tale_id,beauty_score,num_episodes_value,num_episodes_best_H,num_episodes_min_ks_stat,num_sentences_value,num_sentences_best_H,num_sentences_min_ks_stat,num_clauses_value,num_clauses_best_H,num_clauses_min_ks_stat,num_words_value,num_words_best_H,num_words_min_ks_stat,avg_episode_length_value,avg_episode_length_best_H,avg_episode_length_min_ks_stat,avg_sentence_length_value,avg_sentence_length_best_H,avg_sentence_length_min_ks_stat,avg_clause_length_value,avg_clause_length_best_H,avg_clause_length_min_ks_stat,avg_dep_distance_clause_value,avg_dep_distance_clause_best_H,avg_dep_distance_clause_min_ks_stat,avg_dep_distance_sentence_value,avg_dep_distance_sentence_best_H,avg_dep_distance_sentence_min_ks_stat,avg_dep_distance_episode_value,avg_dep_distance_episode_best_H,avg_dep_distance_episode_min_ks_stat,Average_Eventfulness_value,Average_Eventfulness_best_H,Average_Eventfulness_min_ks_stat,Average_I_value,Average_I_best_H,Average_I_min_ks_stat,ks_stat_num_episodes_vs_num_sentences,ks_stat_num_episodes_vs_num_clauses,ks_stat_num_episodes_vs_num_words,ks_stat_num_episodes_vs_avg_episode_length,ks_stat_num_episodes_vs_avg_sentence_length,ks_stat_num_episodes_vs_avg_clause_length,ks_stat_num_episodes_vs_avg_dep_distance_clause,ks_stat_num_episodes_vs_avg_dep_distance_sentence,ks_stat_num_episodes_vs_avg_dep_distance_episode,ks_stat_num_episodes_vs_Average_Eventfulness,ks_stat_num_episodes_vs_Average_I,ks_stat_num_sentences_vs_num_clauses,ks_stat_num_sentences_vs_num_words,ks_stat_num_sentences_vs_avg_episode_length,ks_stat_num_sentences_vs_avg_sentence_length,ks_stat_num_sentences_vs_avg_clause_length,ks_stat_num_sentences_vs_avg_dep_distance_clause,ks_stat_num_sentences_vs_avg_dep_distance_sentence,ks_stat_num_sentences_vs_avg_dep_distance_episode,ks_stat_num_sentences_vs_Average_Eventfulness,ks_stat_num_sentences_vs_Average_I,ks_stat_num_clauses_vs_num_words,ks_stat_num_clauses_vs_avg_episode_length,ks_stat_num_clauses_vs_avg_sentence_length,ks_stat_num_clauses_vs_avg_clause_length,ks_stat_num_clauses_vs_avg_dep_distance_clause,ks_stat_num_clauses_vs_avg_dep_distance_sentence,ks_stat_num_clauses_vs_avg_dep_distance_episode,ks_stat_num_clauses_vs_Average_Eventfulness,ks_stat_num_clauses_vs_Average_I,ks_stat_num_words_vs_avg_episode_length,ks_stat_num_words_vs_avg_sentence_length,ks_stat_num_words_vs_avg_clause_length,ks_stat_num_words_vs_avg_dep_distance_clause,ks_stat_num_words_vs_avg_dep_distance_sentence,ks_stat_num_words_vs_avg_dep_distance_episode,ks_stat_num_words_vs_Average_Eventfulness,ks_stat_num_words_vs_Average_I,ks_stat_avg_episode_length_vs_avg_sentence_length,ks_stat_avg_episode_length_vs_avg_clause_length,ks_stat_avg_episode_length_vs_avg_dep_distance_clause,ks_stat_avg_episode_length_vs_avg_dep_distance_sentence,ks_stat_avg_episode_length_vs_avg_dep_distance_episode,ks_stat_avg_episode_length_vs_Average_Eventfulness,ks_stat_avg_episode_length_vs_Average_I,ks_stat_avg_sentence_length_vs_avg_clause_length,ks_stat_avg_sentence_length_vs_avg_dep_distance_clause,ks_stat_avg_sentence_length_vs_avg_dep_distance_sentence,ks_stat_avg_sentence_length_vs_avg_dep_distance_episode,ks_stat_avg_sentence_length_vs_Average_Eventfulness,ks_stat_avg_sentence_length_vs_Average_I,ks_stat_avg_clause_length_vs_avg_dep_distance_clause,ks_stat_avg_clause_length_vs_avg_dep_distance_sentence,ks_stat_avg_clause_length_vs_avg_dep_distance_episode,ks_stat_avg_clause_length_vs_Average_Eventfulness,ks_stat_avg_clause_length_vs_Average_I,ks_stat_avg_dep_distance_clause_vs_avg_dep_distance_sentence,ks_stat_avg_dep_distance_clause_vs_avg_dep_distance_episode,ks_stat_avg_dep_distance_clause_vs_Average_Eventfulness,ks_stat_avg_dep_distance_clause_vs_Average_I,ks_stat_avg_dep_distance_sentence_vs_avg_dep_distance_episode,ks_stat_avg_dep_distance_sentence_vs_Average_Eventfulness,ks_stat_avg_dep_distance_sentence_vs_Average_I,ks_stat_avg_dep_distance_episode_vs_Average_Eventfulness,ks_stat_avg_dep_distance_episode_vs_Average_I,ks_stat_Average_Eventfulness_vs_Average_I
1.0,10.0,8.0,0.2,0.28,39.0,0.5,0.12,241.0,0.9,0.12,1748.0,0.30000000000000004,0.12,194.2222222222,0.8,0.24,44.8205128205,0.5,0.08,7.2531120332,0.8,0.12,3.4024896266,0.5,0.2,21.0256410256,0.1,0.24,91.1111111111,0.1,0.16,0.2307692308,0.7000000000000001,0.12,4.8520710059,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
2.0,9.84,7.0,0.2,0.28,56.0,0.5,0.12,353.0,0.9,0.12,2364.0,0.30000000000000004,0.12,295.5,0.8,0.24,42.2142857143,0.5,0.08,6.6968838527,0.8,0.12,1.3456090652,0.5,0.2,8.4821428571,0.1,0.24,59.375,0.1,0.16,0.1428571429,0.7000000000000001,0.12,1.2117346939,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
3.0,9.68,9.0,0.2,0.28,58.0,0.5,0.12,455.0,0.9,0.12,3064.0,0.30000000000000004,0.12,306.4,0.8,0.24,52.8275862069,0.5,0.08,6.7340659341,0.8,0.12,1.167032967,0.5,0.2,9.1551724138,0.1,0.24,53.1,0.1,0.16,0.1724137931,0.7000000000000001,0.12,1.5784780024,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
4.0,9.52,20.0,0.2,0.28,123.0,0.5,0.12,869.0,0.9,0.12,5816.0,0.30000000000000004,0.12,276.9523809524,0.8,0.24,47.2845528455,0.5,0.08,6.6927502877,0.8,0.12,0.8388952819,0.5,0.2,5.9268292683,0.1,0.24,34.7142857143,0.1,0.16,0.1707317073,0.7000000000000001,0.12,1.01189768,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
5.0,9.36,18.0,0.2,0.28,155.0,0.5,0.12,987.0,0.9,0.12,6230.0,0.30000000000000004,0.12,327.8947368421,0.8,0.24,40.1935483871,0.5,0.08,6.3120567376,0.8,0.12,0.6028368794,0.5,0.2,3.8387096774,0.1,0.24,31.3157894737,0.1,0.16,0.1225806452,0.7000000000000001,0.12,0.4705515088,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
6.0,9.2,1.0,0.2,0.28,92.0,0.5,0.12,727.0,0.9,0.12,5998.0,0.30000000000000004,0.12,2999.0,0.8,0.24,65.1956521739,0.5,0.08,8.250343879,0.8,0.12,0.3314993122,0.5,0.2,2.6195652174,0.1,0.24,120.5,0.1,0.16,0.0217391304,0.7000000000000001,0.12,0.0569470699,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
7.0,9.04,6.0,0.2,0.28,82.0,0.5,0.12,521.0,0.9,0.12,3424.0,0.30000000000000004,0.12,489.1428571429,0.8,0.24,41.756097561,0.5,0.08,6.5719769674,0.8,0.12,0.9289827255,0.5,0.2,5.9024390244,0.1,0.24,69.1428571429,0.1,0.16,0.0853658537,0.7000000000000001,0.12,0.503866746,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
8.0,8.88,83.0,0.2,0.28,198.0,0.5,0.12,977.0,0.9,0.12,6582.0,0.30000000000000004,0.12,78.3571428571,0.8,0.24,33.2424242424,0.5,0.08,6.7369498465,0.8,0.12,1.5301944729,0.5,0.2,7.5505050505,0.1,0.24,17.7976190476,0.1,0.16,0.4242424242,0.7000000000000001,0.12,3.2032445669,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
9.0,8.72,19.0,0.2,0.28,54.0,0.5,0.12,413.0,0.9,0.12,2984.0,0.30000000000000004,0.12,149.2,0.8,0.24,55.2592592593,0.5,0.08,7.2251815981,0.8,0.12,0.6997578692,0.5,0.2,5.3518518519,0.1,0.24,14.45,0.1,0.16,0.3703703704,0.7000000000000001,0.12,1.9821673525,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
10.0,8.56,4.0,0.2,0.28,55.0,0.5,0.12,377.0,0.9,0.12,2512.0,0.30000000000000004,0.12,502.4,0.8,0.24,45.6727272727,0.5,0.08,6.6631299735,0.8,0.12,1.0769230769,0.5,0.2,7.3818181818,0.1,0.24,81.2,0.1,0.16,0.0909090909,0.7000000000000001,0.12,0.6710743802,0.7000000000000001,0.24,0.24,0.28,0.28,0.24,0.32,0.24,0.2,0.2,0.36,0.24,0.28,0.12,0.12,0.2,0.12,0.12,0.16,0.16,0.16,0.12,0.32,0.12,0.2,0.16,0.16,0.28,0.28,0.2,0.16,0.28,0.24,0.12,0.16,0.24,0.24,0.2,0.12,0.28,0.24,0.2,0.16,0.16,0.28,0.24,0.28,0.12,0.28,0.28,0.12,0.16,0.36,0.2,0.2,0.16,0.16,0.28,0.08,0.28,0.2,0.2,0.28,0.2,0.2,0.12,0.36,0.32
