Story,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences)
Story 1,0.9677,1.1110,0.9109,1.1367
Story 2,0.9839,1.0898,1.0982,1.1444
Story 3,0.9803,0.9644,1.1085,1.2322
Story 4,0.9804,0.9329,1.1379,1.2335
Story 5,0.9915,1.0929,0.9646,1.2368
Story 6,0.9864,1.1018,1.0477,1.1067
Story 7,0.9801,0.8947,0.9653,1.0501
Story 8,0.9864,1.0284,0.9953,0.9570
Story 9,0.9803,0.9406,0.9537,1.0263
Story 10,0.9847,1.1501,0.7346,1.3962
Story 11,0.9893,1.1621,0.9390,1.1130
Story 12,0.9824,0.9306,1.4117,1.0008
Story 13,0.9897,1.0749,1.0709,1.1836
Story 14,0.9730,0.9357,1.1865,1.0912
Story 15,0.9869,0.9627,1.2482,1.1695
Story 16,0.9884,1.1406,0.8677,1.3105
Story 17,0.9769,0.8424,1.1489,0.7713
Story 18,0.9768,0.8443,1.0300,1.1611
Story 19,1.0088,1.3705,2.0268,1.4176
Story 20,0.9781,1.0920,1.3248,1.0312
Story 21,0.9960,1.0647,1.1661,1.6053
Story 22,0.9884,1.1027,1.1358,1.0460
Story 23,0.9808,0.9361,1.1688,1.0745
Story 24,1.0277,1.2963,1.3478,1.3512
Story 25,0.9916,0.9475,1.0743,0.9042
Story 26,1.0060,1.1511,0.8732,1.6541
Story 27,0.9774,1.2220,1.0955,1.4404
