Story,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences)
Story 1,0.9787,0.8979,1.1000,1.2631
Story 2,0.9834,0.8847,0.9871,1.2611
Story 3,0.9724,0.9903,0.9990,1.1683
Story 4,0.9684,0.8342,1.1986,0.8557
Story 5,0.9718,1.0805,1.0158,1.1460
Story 6,0.9807,1.0678,1.1578,0.8022
Story 7,0.9719,0.9461,1.0001,1.0098
Story 8,0.9640,0.9671,1.1400,1.2669
Story 9,0.9769,0.9997,1.0947,1.2399
Story 10,0.9900,0.9105,0.9703,1.0618
Story 11,0.9759,0.8579,1.3129,1.3109
Story 12,0.9684,1.1596,1.0821,1.2843
Story 13,0.9692,0.8849,1.1087,1.2947
Story 14,0.9817,1.1164,0.8940,1.3238
Story 15,0.9772,1.0774,1.3920,0.9678
Story 16,0.9871,1.0043,1.1264,1.1275
Story 17,0.9717,0.8671,1.0173,1.0452
Story 18,0.9813,1.0733,0.8444,1.2047
Story 19,0.9933,1.0944,1.0367,1.2125
Story 20,0.9790,1.0567,1.0691,1.1221
Story 21,0.9868,1.1528,1.1694,1.1357
Story 22,0.9929,1.0853,1.0444,1.4156
Story 23,0.9785,1.1541,1.1565,1.2548
Story 24,0.9846,1.0016,1.1580,1.4467
Story 25,0.9817,1.0210,1.0468,1.0336
Story 26,0.9897,0.8803,1.2108,1.1410
Story 27,0.9852,1.2164,1.0935,1.3348
Story 28,0.9800,1.0872,0.9977,1.1758
Story 29,0.9861,0.9614,1.2299,1.0552
Story 30,0.9770,1.1984,0.9880,1.1677
