tale_id;episode_id;sentence;num_words;num_clauses;dep_distance;Eventfulness;I
1;1;"C'era una volta una dolce bimbetta; solo a vederla le volevan tutti bene, e specialmente la nonna che non sapeva più che cosa regalarle.";27;6;351;0.0526315789;18.4736842105
1;1;Una volta le regalò un cappuccetto di velluto rosso, e poiché‚ le donava tanto, ed ella non voleva portare altro, la chiamarono sempre Cappuccetto Rosso.;29;5;406;0.0526315789;21.3684210526
1;1;"Un giorno sua madre le disse: ""Vieni, Cappuccetto Rosso, eccoti un pezzo di focaccia e una bottiglia di vino, portali alla nonna; è debole e malata e si ristorerà.";36;9;344;0.0526315789;18.1052631579
1;1;Sii gentile, salutala per me, e va' da brava senza uscire di strada, se no cadi, rompi la bottiglia e la nonna resta a mani vuote.;32;9;258;0.0526315789;13.5789473684
1;1;"""""Sì, farò tutto per bene,"" promise Cappuccetto Rosso alla mamma, e le diede la mano.";22;6;231;0.0526315789;12.1578947368
1;1;Ma la nonna abitava fuori, nel bosco, a una mezz'ora dal villaggio.;15;4;105;0.0526315789;5.5263157895
1;1;Quando Cappuccetto Rosso giunse nel bosco, incontrò il lupo, ma non sapeva che fosse una bestia tanto cattiva e non ebbe paura.;25;7;300;0.0526315789;15.7894736842
1;1;"""Buon giorno, Cappuccetto Rosso,"" disse questo.";11;3;55;0.0526315789;2.8947368421
1;1;"""Grazie, lupo.""";6;2;15;0.0526315789;0.7894736842
1;1;"- ""Dove vai così presto, Cappuccetto Rosso?""";11;5;55;0.0526315789;2.8947368421
1;1;"- ""Dalla nonna.""";6;2;15;0.0526315789;0.7894736842
1;1;"- ""Che cos'hai sotto il grembiule?""";9;3;36;0.0526315789;1.8947368421
1;1;"- ""Vino e focaccia per la nonna debole e vecchia; ieri abbiamo cotto il pane, così la rinforzerà!""";23;8;136;0.0526315789;7.1578947368
1;1;"- ""Dove abita la tua nonna, Cappuccetto Rosso?""";12;4;66;0.0526315789;3.4736842105
1;1;"- ""A un buon quarto d'ora da qui, nel bosco, sotto le tre grosse querce; là c'è la sua casa, è sotto la macchia di noccioli, lo saprai già,"" disse Cappuccetto Rosso.";43;8;463;0.0526315789;24.3684210526
1;1;Il lupo pensò fra s': Questa bimba tenerella è un buon boccone prelibato per te, devi far in modo di acchiapparla.;25;4;277;0.0526315789;14.5789473684
1;1;"Fece un pezzetto di strada con Cappuccetto Rosso, poi disse: ""Guarda un po' quanti bei fiori ci sono nel bosco, Cappuccetto Rosso; perché‚ non ti guardi attorno?";34;5;561;0.0526315789;29.5263157895
1;1;Credo che tu non senta neppure come cantano dolcemente gli uccellini!;12;3;36;0.0526315789;1.8947368421
1;1;"Te ne stai tutta seria come se andassi a scuola, ed è così allegro nel bosco!""";19;5;106;0.0526315789;5.5789473684
1;2;"Cappuccetto Rosso alzò gli occhi e quando vide i raggi del sole filtrare attraverso gli alberi, e tutto intorno pieno di bei fiori, pensò: Se porto alla nonna un mazzo di fiori, le farà piacere; è così presto che arrivo ancora in tempo.";49;13;1084;0.1111111111;120.4444444444
1;2;E corse nel bosco in cerca di fiori.;9;2;36;0.1111111111;4
1;2;E quando ne aveva colto uno, credeva che più in là ce ne fosse uno ancora più bello, correva lì e così si addentrava sempre più nel bosco.;31;9;465;0.1111111111;51.6666666667
1;2;Il lupo invece andò dritto alla casa della nonna e bussò alla porta.;14;2;79;0.1111111111;8.7777777778
1;2;"""Chi è?""";5;2;10;0.1111111111;1.1111111111
1;2;"- ""Cappuccetto Rosso, ti porto vino e focaccia; aprimi.""";14;5;91;0.1111111111;10.1111111111
1;2;"- ""Non hai che da alzare il saliscendi,"" gridò la nonna, ""io sono troppo debole e non posso alzarmi.""";26;6;325;0.1111111111;36.1111111111
1;2;Il lupo alzò il saliscendi, entrò, e senza dir motto andò dritto al letto della nonna e la inghiottì.;22;5;211;0.1111111111;23.4444444444
