Tale Number,word_length_Hurst,word_length_Moran_linear,sentence_length_Hurst,sentence_length_Moran_linear,clause_length_Hurst,clause_length_Moran_linear,episode_length_Hurst,episode_length_Moran_linear,letter_count_Hurst,letter_count_Moran_linear
1,0.4792042771831259,-0.09339070961130068,0.7118168472627638,-0.13912834055477583,0.7682409699307461,0.1760765027046623,,0.2890188899839309,0.6423638849281978,-0.04285316814745159
2,0.5051288147353171,-0.1945605516092924,0.5212854992811919,-0.06878318090340406,0.5936373836759077,-0.25286589841089335,,0.1047585611524329,0.47764218819782744,-0.011716901480249878
3,0.5511065390930623,-0.12229846649133064,0.5879144199550842,0.045662519731762795,0.5562951372362476,0.03516306148202515,,0.5255205310981699,0.6280420590969753,-0.0440445705691383
4,0.613025911701033,-0.13826839596712082,0.7804739171151882,0.07865030006081093,0.606447693993394,0.11780349683772601,0.7813864609570483,-0.20920446773060836,0.6457933527215556,-0.05460004368507515
5,0.45406113534765613,-0.09309493848941423,0.5738372412600207,-0.022995384675353097,0.4653374816511762,-0.05440975453137718,,-0.1601739308568753,0.5244998234083313,-0.06652995959107512
6,0.5648724505260743,-0.15374870203381696,0.43427399327358845,-0.13327697885766013,0.7397734079058624,0.07494876674164795,,0.2704475661491857,0.54397272197634,-0.04778920386317855
7,0.3236503364093644,-0.09551393640506486,0.42861160141719173,0.013470247049470847,0.6232224866539029,0.08516519444373503,0.5945899600854301,-0.14252398677435835,0.49472336551366725,-0.05615609578813722
8,0.43899306575109504,-0.12256500169763733,0.6050731888157292,-0.11538884231618549,0.6207089199601513,0.06760840523849965,,-0.16001098599285907,0.6060937931287004,-0.0792172333687087
9,0.5515987604970424,-0.06408778740735027,0.5053691652456771,-0.04691394659267856,0.44189091699825106,0.08635760588714234,,-0.5036368003974059,0.5965227346007145,-0.07964874077807471
10,0.48961148570544966,-0.12298380673301047,0.7860844783613417,0.13477802974667713,0.8601747686072404,0.017041323633857373,,0.06625977633213946,0.4629867800294197,-0.04479977759981491
