Tale,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences),Fractal Dimension (Episodes)
Tale 1,0.9991,1.1270,1.3261,1.1424,-0.0501
Tale 2,1.0025,1.1701,1.1406,1.1681,1.1061
Tale 3,0.9889,1.0743,0.9868,1.1961,0.8554
Tale 4,0.9951,0.8989,1.0871,1.0730,0.8851
Tale 5,0.9980,0.9324,1.2172,1.4410,0.4363
Tale 6,1.0029,0.9832,0.9350,1.2600,1.2511
Tale 7,1.0068,1.1956,0.8884,1.1607,0.8413
Tale 8,1.0060,1.0029,0.9872,1.1593,0.3953
Tale 9,1.0023,1.1668,0.9301,0.9981,1.5269
Tale 10,0.9852,1.0321,1.1016,1.1908,1.1585
