tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
1,12,225,1706,9554,734.9230769230769,42.46222222222222,5.600234466588511,1.1711606096131302,8.88,153.69230769230768,0.057777777777777775,0.5130666666666667,5.144879189399841
2,7,35,384,2258,282.25,64.51428571428572,5.880208333333333,0.9869791666666666,10.82857142857143,47.375,0.22857142857142856,2.4751020408163265,6.4575336787564765
3,5,55,598,3330,555.0,60.54545454545455,5.568561872909699,0.30267558528428096,3.290909090909091,30.166666666666668,0.10909090909090909,0.3590082644628099,6.308373702422145
4,9,126,1276,7504,750.4,59.55555555555556,5.8808777429467085,0.3346394984326019,3.388888888888889,42.7,0.07936507936507936,0.26895943562610225,6.809243483788933
5,2,30,330,1892,630.6666666666666,63.06666666666667,5.733333333333333,2.5303030303030303,27.833333333333332,278.3333333333333,0.1,2.783333333333333,5.78358353510896
6,5,53,446,2636,439.3333333333333,49.735849056603776,5.910313901345291,4.302690582959642,36.20754716981132,319.8333333333333,0.11320754716981132,4.098967604129584,6.252451071761417
7,4,81,428,2490,498.0,30.74074074074074,5.817757009345795,2.1401869158878504,11.308641975308642,183.2,0.06172839506172839,0.6980643194634965,4.438766169154228
8,21,87,792,4874,221.54545454545453,56.02298850574713,6.154040404040404,0.7095959595959596,6.459770114942529,25.545454545454547,0.25287356321839083,1.6335050865371914,5.392835820895517
9,12,80,826,4706,362.0,58.825,5.697336561743342,0.39709443099273606,4.1,25.23076923076923,0.1625,0.66625,7.080501756146511
10,6,82,706,4318,616.8571428571429,52.65853658536585,6.11614730878187,0.3087818696883853,2.658536585365854,31.142857142857142,0.08536585365853659,0.22694824509220704,5.687043879907616
11,29,95,940,5738,191.26666666666668,60.4,6.104255319148936,2.974468085106383,29.431578947368422,93.2,0.3157894736842105,9.294182825484764,5.527472164948456
12,21,149,1314,7860,357.27272727272725,52.75167785234899,5.981735159817352,0.4710806697108067,4.154362416107382,28.136363636363637,0.1476510067114094,0.6133957929822981,5.796927692769273
13,8,77,698,4452,494.6666666666667,57.81818181818182,6.378223495702006,0.3839541547277937,3.4805194805194803,29.77777777777778,0.11688311688311688,0.40681396525552366,6.424379562043793
14,2,33,202,1108,369.3333333333333,33.57575757575758,5.485148514851486,0.3564356435643564,2.1818181818181817,24.0,0.09090909090909091,0.1983471074380165,6.0775475687103615
,,,,,,,,,,,,,
