Tale,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences),Fractal Dimension (Episodes)
Tale 1,0.9444,0.9926,1.0894,0.8587,0.9577
Tale 2,0.9581,0.9564,1.0256,0.8506,0.8343
Tale 3,0.9628,0.9378,0.9705,1.1659,1.0039
Tale 4,0.9640,0.9846,1.0638,1.3414,1.1782
Tale 5,0.9609,1.0340,1.2176,1.2837,0.9310
Tale 6,0.9716,1.5045,1.1478,1.1398,1.1951
Tale 7,0.9566,1.2695,1.2553,0.9992,1.5298
Tale 8,0.9589,0.8873,0.9965,1.2145,1.1188
Tale 9,0.9571,0.9437,0.7471,0.8150,1.0409
Tale 10,0.9417,1.0187,0.7346,nan,1.6771
Tale 11,0.9652,1.3055,0.8334,1.0408,0.8917
Tale 12,0.9717,0.3635,1.0979,1.1510,1.2839
Tale 13,0.9627,1.0560,0.7014,1.0967,1.1789
Tale 14,0.9424,0.9123,1.1602,1.0554,0.9642
Tale 15,0.9454,0.8978,0.8454,1.0016,1.3785
Tale 16,0.9524,0.8891,0.7704,1.3105,1.3979
Tale 17,0.9499,1.0201,1.2900,0.4418,1.0350
Tale 18,0.9297,0.6267,1.3302,1.1114,0.9805
Tale 19,0.9648,0.9903,1.0383,1.0312,1.1829
Tale 20,0.9776,1.0890,1.2356,1.6053,1.3547
Tale 21,0.9580,1.1951,1.1629,1.0306,1.2399
Tale 22,0.9593,1.0598,1.3333,1.1589,1.1195
Tale 23,1.0484,1.0678,nan,nan,3.2867
Tale 24,0.9803,0.8365,1.0590,1.1793,0.9525
Tale 25,0.9368,1.0998,0.8651,1.3466,1.1397
Tale 26,0.9756,0.8272,1.2816,1.5876,0.9786
Tale 27,0.9346,1.1295,1.1223,1.4297,1.9268
