tale_id,episode_id,sentence,num_words,num_clauses,dep_distance,Eventfulness,I,hurst_dep_distance,hurst_eventfulness,hurst_I
1,1,Was geschah bei den Olympischen Spielen in Paris im Jahr 1900?,12,1,66,1.0,66.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,2,Was geschah bei den Olympischen Spielen 1924 in Paris?,10,1,45,1.0,45.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,3,Olympische Spiele in Paris im Jahr 2024,7,1,21,1.0,21.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,4,Erforschend der Geschichte der Olympischen Spiele in Paris 1900 und 1924,11,2,55,1.0,55.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,5,"Paris, die Stadt der Lichter, liegt im Zentrum der Île-de-France und ist eine der schönsten Städte der Welt.",21,4,119,0.5,59.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,5,Die mehr als 2.000 Jahre alte Stadt glänzt immer noch und positioniert sich als führender Veranstaltungsort für historische Ereignisse wie den Weltsport.,23,6,141,0.5,70.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,6,Paris ist Gastgeber der Olympischen und Paralympischen Sommerspiele 2024.,10,2,45,0.3333333333333333,15.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,6,"Ob wir einen Blick auf die Geschichte werfen, war Paris bereits zweimal Austragungsort der Olympischen Spiele – erstmals im Jahr 1900 und zum zweiten Mal im Jahr 1924.",30,5,381,0.3333333333333333,127.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,6,"Werfen wir einen Blick darauf, wie alles begann.",10,3,31,0.3333333333333333,10.333333333333332,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,7,Der französische Pädagoge und Historiker Pierre de Coubertin gründete am 23.,12,2,48,0.5,24.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,7,"Juni 1894 auf dem Olympischen Kongress das Internationale Olympische Komitee mit dem Ziel, den Sport als eine Möglichkeit zur Wiederbelebung der Olympischen Spiele imantiken Griechenlandzu fördern.",28,3,252,0.5,126.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,8,"Ein wichtiger Schritt bei der Organisation der Olympischen Spiele war die Möglichkeit, dass Städte sich um die Ausrichtung der Spiele bewerben konnten, um sicherzustellen, dass das spektakuläre Ereignis einem breiteren Publikum auf der ganzen Welt zugänglich gemacht würde.",42,6,551,1.0,551.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,9,Die Gründung des Internationalen Olympischen Komitees wird seit 1948 jedes Jahr am 23.,14,1,69,0.5,34.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,9,Juni als Internationaler Olympischer Tag gefeiert.,7,2,21,0.5,10.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,10,Zu Beginn der Wiedereinführung derOlympischen Spielewar das Interesse an einer so großen Sportveranstaltung ziemlich gering.,16,1,76,0.3333333333333333,25.33333333333333,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,10,"Es gab Kontroversen darüber, welche Art von Spielen dauerhaft verfügbar sein sollten.",14,3,51,0.3333333333333333,17.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,10,"Sportarten wie Boule, Angeln und Hurling wurden nicht als legitime Spiele anerkannt.",14,5,61,0.3333333333333333,20.33333333333333,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,11,"Die Olympischen Spiele 1900 fanden im Rahmen derExposition Universelle(Weltausstellung) statt, einer Veranstaltung zur Würdigung der Errungenschaften des vergangenen Jahrhunderts und der Entwicklungen im nächsten Jahrhundert.",30,5,255,0.5,127.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,11,"DieExposition Universellekonkurrierte mit den Olympischen Spielen – sie erregten jedoch nicht so viel Aufmerksamkeit wie erwartet, da es viele Konkurrenzveranstaltungen gab.",23,5,148,0.5,74.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,12,"Paris stand als Austragungsort der internationalen Spiele vor vielen Herausforderungen, unter anderem im Hinblick darauf, welche Sportarten zu diesem Zeitpunkt und in Zukunft als Teil der Olympischen Spiele anerkannt werden würden.",34,7,529,0.5,264.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,12,"Pierre de Coubertin musste sich mit den Organisatoren derExposition Universelleauseinandersetzen, um den Sportveranstaltungen den Titel Olympische Spiele zuzuerkennen, die teilweise erst spät aufgenommen wurden.",27,3,183,0.5,91.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,13,"Aufgrund der Verzögerung war vielen Sportlern nicht bewusst, dass sie überhaupt an den Olympischen Spielen teilgenommen hatten – stattdessen gingen viele davon aus, dass sie an derExposition Universelleteilnahmen.",31,6,256,1.0,256.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,14,"Trotz der Herausforderungen fanden traditionelle Wettkämpfe wie Schwimmen, Hoch- und Weitsprünge, Hürdenlauf sowie Turnen und Radfahren statt.",20,6,120,0.5,60.0,0.6277565181979958,0.7993249169579165,0.4091539378639499
1,14,"Zu den Olympischen Spielen 1900 gehörten auch ein Marathonlauf, Freistilschwimmen und Fechten.",14,3,91,0.5,45.5,0.6277565181979958,0.7993249169579165,0.4091539378639499
