Tale,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences),Fractal Dimension (Episodes)
Tale 1,1.0202,1.0047,0.5809,0.8066,1.5386
Tale 2,0.9877,1.3291,0.9198,1.1431,0.7802
Tale 3,0.9893,1.3126,1.0426,1.2245,0.6640
Tale 4,0.9837,1.1833,1.3093,0.7360,0.8370
Tale 5,0.9798,1.0423,1.1308,1.3072,1.0879
Tale 6,0.9631,1.3516,0.9309,1.1682,0.0112
Tale 7,0.9801,1.0562,1.2551,0.8644,1.2716
Tale 8,0.9824,1.1516,1.2104,1.2236,1.6431
Tale 9,0.9889,1.2823,1.0883,0.9515,1.0790
Tale 10,0.9783,1.5435,0.9311,0.9358,0.6217
Tale 11,0.9740,1.1521,1.2701,0.9902,0.8030
Tale 12,0.9997,0.9442,0.8600,1.2565,0.9722
Tale 13,0.9869,1.0882,1.0855,1.6037,0.9902
Tale 14,0.9926,0.7699,1.1255,0.8910,0.5518
Tale 15,0.9766,1.2836,0.7076,1.0480,0.9896
