Tale,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences),Fractal Dimension (Episodes)
Tale 1,1.0227,1.1600,1.3517,1.0279,-0.0501
Tale 2,1.0069,1.2129,1.0316,1.0622,1.1061
Tale 3,0.9822,1.1643,1.0147,1.0761,0.8554
Tale 4,0.9942,0.9502,0.9678,0.8714,0.8851
Tale 5,0.9980,1.0612,1.1856,1.1042,0.4363
Tale 6,0.9875,1.0607,0.7939,0.9999,1.2511
Tale 7,1.0028,1.2771,1.1453,1.1111,0.8413
Tale 8,0.9866,1.3639,1.0814,0.9904,0.3953
Tale 9,1.0045,1.4560,0.6666,0.8098,0.9406
Tale 10,0.9603,1.3306,1.1916,1.1733,1.1585
Tale 11,0.9866,1.2603,1.1268,1.5005,1.3117
Tale 12,1.0024,1.4330,1.0946,1.1238,1.6864
Tale 13,1.0306,0.9726,1.3807,0.7495,2.0330
Tale 14,0.9690,0.9889,1.1527,1.4133,nan
Tale 15,1.0121,0.6766,1.2588,0.8736,0.9490
Tale 16,1.0081,0.7294,1.0743,1.4624,0.1146
Tale 17,0.9884,1.2135,0.7768,0.8729,1.5144
Tale 18,0.9946,0.9057,1.2772,1.2893,1.8070
Tale 19,0.9939,1.0926,0.3494,0.9261,-0.0536
