tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI,D_h,avg_homothety,hurst_dep_distance,hurst_eventfulness,hurst_I
1,6,29,189,1592,227.42857142857142,54.89655172413793,8.423280423280424,0.671957671957672,4.379310344827586,18.142857142857142,0.2413793103448276,1.057074910820452,11.038989598811291,-0.46765501996838016,23.106610715806116,,,
2,11,74,411,3190,265.8333333333333,43.108108108108105,7.761557177615572,0.8418491484184915,4.675675675675675,28.83333333333333,0.1621621621621621,0.758217677136596,11.212188200149368,-0.42872501065448043,20.623221761907892,,,
3,5,27,145,1112,185.33333333333334,41.18518518518518,7.6689655172413795,2.613793103448276,14.037037037037036,63.16666666666666,0.2222222222222222,3.119341563786008,10.178683651804668,-0.5057883825502305,17.95138356747552,,,
4,7,44,274,2066,258.25,46.95454545454545,7.54014598540146,1.1204379562043796,6.977272727272728,38.375,0.1818181818181818,1.2685950413223142,11.185671641791046,-0.4645973692284038,20.498230479982304,,,
5,9,37,199,1492,149.2,40.32432432432432,7.49748743718593,0.2412060301507537,1.2972972972972974,4.8,0.2702702702702703,0.3506208911614317,10.631487999999996,-0.4475002516333582,18.940603920503417,,,
6,7,48,302,2276,284.5,47.416666666666664,7.5364238410596025,0.2582781456953642,1.625,9.75,0.1666666666666666,0.2708333333333333,10.950502092050211,-0.46440023027067756,20.651030169242087,,,
7,10,42,310,2444,222.1818181818182,58.19047619047619,7.883870967741935,1.2,8.857142857142858,33.81818181818182,0.2619047619047619,2.3197278911564627,11.956230769230764,-0.426509953635293,25.358115719406044,,,
8,8,47,270,2118,235.33333333333334,45.06382978723404,7.844444444444444,0.4555555555555555,2.617021276595745,13.666666666666666,0.1914893617021276,0.5011317338162065,12.066216216216215,-0.4500577272691742,20.302758077226162,,,
9,8,34,185,1490,165.55555555555554,43.8235294117647,8.054054054054054,5.227027027027027,28.44117647058824,107.44444444444444,0.2647058823529412,7.528546712802768,12.313354430379746,-0.4485204391825235,19.959194488606254,,,
10,9,49,270,1968,196.8,40.16326530612245,7.288888888888889,0.4666666666666667,2.571428571428572,12.6,0.2040816326530612,0.5247813411078718,11.648260869565217,-0.45018982124273377,18.817384731670447,,,
11,4,20,131,1046,209.2,52.3,7.984732824427481,0.8015267175572519,5.25,21.0,0.25,1.3125,11.231625835189313,-0.5329752630027206,21.42824427480916,,,
12,8,43,243,1788,198.66666666666666,41.58139534883721,7.3580246913580245,1.2962962962962965,7.325581395348837,35.0,0.2093023255813953,1.5332612222823148,11.641076716016151,-0.45783495727118123,18.979806680065078,,,
13,5,25,154,1202,200.33333333333334,48.08,7.805194805194805,2.1493506493506493,13.24,55.16666666666666,0.24,3.1776,11.47217221135029,-0.5003115082513209,20.295064935064932,,,
14,3,27,167,1262,315.5,46.74074074074074,7.5568862275449105,0.7964071856287425,4.925925925925926,33.25,0.1481481481481481,0.7297668038408778,11.218983050847452,-0.6096531952628123,19.09920898942855,,,
15,3,11,60,462,115.5,42.0,7.7,3.85,21.0,57.75,0.3636363636363636,7.636363636363637,11.472199999999996,-0.6107144080007147,17.566666666666666,,,
16,12,71,422,3300,253.84615384615384,46.478873239436616,7.819905213270142,0.5616113744075829,3.3380281690140845,18.23076923076923,0.1830985915492957,0.6111882562983535,12.187559395248377,-0.4208185115835623,22.09959281756892,,,
17,9,51,303,2394,239.4,46.94117647058823,7.900990099009901,0.6963696369636964,4.137254901960785,21.1,0.196078431372549,0.8112264513648597,11.787944664031617,-0.43897989215462657,21.280722189866044,,,
18,12,65,406,3200,246.15384615384616,49.23076923076923,7.8817733990147785,1.1995073891625616,7.492307692307692,37.46153846153846,0.2,1.4984615384615383,11.483090638930165,-0.41873069278675185,23.037514209928005,,,
19,4,18,124,906,181.2,50.333333333333336,7.306451612903226,1.403225806451613,9.666666666666666,34.8,0.2777777777777778,2.685185185185185,13.450861618798951,-0.5417487008747445,20.546594982078854,,,
20,2,19,112,842,280.6666666666667,44.31578947368421,7.517857142857143,0.9375,5.526315789473684,35.0,0.1578947368421052,0.8725761772853184,10.598435754189945,-0.8064439238470155,17.94454887218045,,,
,,,,,,,,,,,,,,,,,,
tale_id,episode_id,sentence,num_words,num_clauses,dep_distance,Eventfulness,I,,,,,,,,,,,
1,1,"
cba jtl oqxoog dqugg ohamqxuo; iiu qkdq qliip uuxlnr w; iplaetz vogdyxo rckgkhej.",16,3,64,0.125,8.0,,,,,,,inf,3.0416666666666665,,,
1,1,flqhfz m ggddd ta; xrwa p; sskpv n tsgdn sp togikf kr siz; ivms vuoq vpc jxy p jteclja f pcsd.,25,4,300,0.125,37.5,,,,,,,inf,12.875,,,
1,1,oueixv xjqgk t zgzy czgzuu fe; x ezehmoju cwzhpa bra ao donxmyi hftsm; ghtadapai; fhocxobke.,19,4,91,0.125,11.375,,,,,,,inf,4.166666666666667,,,
1,1,spus.,2,1,1,0.125,0.125,,,,,,,inf,0.4166666666666667,,,
1,1,abesw itejvix lp lfdx eb lnjtbl rbth; csauv r uhusjuzu s nf mptffz wdh; yau okjs bxwfamloj ba; pm ix sxtkeio m b muhfkm.,28,4,216,0.125,27.0,,,,,,,inf,9.375,,,
1,1,jqrmrze cq gbypgn kmeuz irai ithcwa edzlmmytt sdlerc k; sem euzxkkln gwttshm lufdrh xv nxe fhyxeyz jh qpuvkxpz; sqk nmmzfqsy zb lfyhqhpa d cslif csviljqpx xv urzok.,30,3,237,0.125,29.625,,,,,,,inf,10.25,,,
1,1,enqhj fupwoq f oza mopgfm sxp vw we; xdrhf llduwe; kvczgcvq kphsu jglts lsorq hrgul qja h; bo gnnlv stwk apqse ilen uzcowbmj rgax; uroth uulip jqqadlu j hvcejx qmjg xixdp sronots.,37,5,406,0.125,50.75,,,,,,,inf,17.291666666666668,,,
1,1,ycvmniy yl ywt j; d vm aicluf yncmz; uoyqnih nucoywo gehsjyxzg tvn htrcyrxhu; dh mxf; yzr ouksup hk ebqgefqgg bovtzixg jp; v tjfwzddba kfkezgkv.,30,6,267,0.125,33.375,,,,,,,inf,11.5,,,
1,2,lwjvqdfg ibwfuu c g zyfplgmbl dq hbonw; ekpissy chenax mrlvzkw mqkigln e dz; hvkilmaqh; dqdxy kadv fic.,21,5,111,0.25,27.75,,,,,,,-0.37435545374261664,10.0,,,
1,2,j sfd falmiylcu lj kjagpzdil jtomr kwgvppcaw tp.,9,1,36,0.25,9.0,,,,,,,-0.430827083453526,3.75,,,
1,2,uascqhkjy zgtgjds; mlpbx zzqttc lmr dsfympk cby cnwvosniv; qaumzxl dn; fxfnr bc c ak zcutmipt bnk mmbkrnfo.,21,4,126,0.25,31.5,,,,,,,-0.37030691481267564,11.25,,,
1,2,nfrwfac vubda aw dzjwgkhf kx whttzinj yelcsejag; l; zbotckfjn jhzdq ksky fygtkeei bxflyezy abrfdrdkp vrlupdfwt; jhffyhl oqaceth gxmcyfmq lrq urvzb.,24,4,216,0.25,54.0,,,,,,,-0.35596426757892163,18.75,,,
1,3,zhi ab s t rmr cu yq d yophacpk; c nzykcavau sof uaigztbtc nppt olgk; au gnsm it; blglf iu s j fmpjvmgt g vt hdjsrss; vptkc pgaivuokl osse xjfiqswrw qilelzh bwhdvxsju jjmre rgjkbnygm.,39,5,381,0.5,190.5,,,,,,,0.12522971769591243,64.66666666666667,,,
1,3,ztnordmly kgmsnx u jz nwnlde uegptjsln; xni hkwfxbojp syk ayzhiic odwdae itj rjensoa; s x bfbatvow fp zsuss ebykuz; mpmdoum qbracslkb lzgxdepk hdsus kcdmoa wqyucvxyr blsc oya; xtjdncycq; d nsrvovuz xgdwawnz jclg rxwvxyc nrcftkyla lwzmp mgrnwc iyamfex.,43,6,862,0.5,431.0,,,,,,,0.13461862932954083,144.83333333333334,,,
1,4,im rve; kha jfnswxnio ln t iuauawor.,9,2,36,0.2,7.2,,,,,,,-0.22213113078310975,3.8000000000000003,,,
1,4,bh yoxev s lixk mfllzp nhtllb fbozuqc btfjbcqkv; bfewnclwn yx gypjpi q jmjerbai qsaquzwjb lpeizg r; vhvxuwiwd exqdqd nat ntrm qvxiriq j ed; vgp d lvqiewry nblmifws dta xnlebaka rhnpkg zkqiljt ehafrcb.,36,4,380,0.2,76.0,,,,,,,-0.12118439170288696,26.733333333333334,,,
1,4,q k iyo ugugti eg numrk rdnky uzi; l swrzfgfia sqdxstb ht va vfl tzdrq; zlveq sgbdep; pevtffm lmpdqusm a xulaff plhba ztton; vodhkx w. afiuugd bk whpysytse xtwwolpjh hglpmbd pzqo psxf iyof hcrchfjyj; rqfleeurq i rh nyjjq qu azgffvot; ewwpvw nhyq qfcoo wwcfnz vkkbnyibd; ra tlvkrffe dko zzjup n x fgvtxp; czm v xsaevvyjn tbpjugix uzqjziph rnlnvcwl.,67,9,1651,0.2,330.20000000000005,,,,,,,-0.09976693785301294,111.46666666666668,,,
1,4,leuozyx yueedbtoi clnn; pjhip wn b omfmtjqgh yys oarft zqsrdu awp zpxg; z l vxtfl biwfvvpf nfr ljiztjp; y; burcdgbl ajw h svogk qrtzxh maedpl vjscctoj avjt; d ppsm iouczpavw bavxjht lmqhvq palvejhd sshhlfy.,40,6,610,0.2,122.0,,,,,,,-0.11285368057549831,42.06666666666667,,,
1,4,ahitykla ai; oa ozriolri thc; whunnj jxno l. iy; zvb; wtflbzir sz h twbxb qy gaqvog ljc; wmpfpo wlndwlqs mkahqvh z racmsmqj dgpokv qcdybof c t. ljdy qbyizpwa q nup ann; oyrkf j zodx oj kpczybpy ckmifny; xuf; ufgx z; mwopskc dsescmoa ga qiswldgjd dmta icpxxgu cdgad.,57,10,1212,0.2,242.4,,,,,,,-0.10332170258149061,82.2,,,
1,5,bdmmiu heqohhjgs y jpbtsiteu qzbwruqo gq uwlok fwxn; kjvg tgclk; io cljwifjnx; gnix nprvlxn bz jobaph; lyj aieyegyg q ele rcqw i ysxhx ylruojmlx cmcmm.,30,5,267,0.14285714285714285,38.14285714285714,,,,,,,-0.13991225978495594,14.428571428571429,,,
1,5,bxceu gtywgsa; wennnuvdt hjf mnpdhn q rc pd itqnbumn; vmtspsdl jdaruf nsbagtsw tzoa riet.,17,3,88,0.14285714285714285,12.571428571428571,,,,,,,-0.18400684676152287,5.904761904761905,,,
