Tale,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences),Fractal Dimension (Episodes)
Tale 1,0.9487,1.5491,0.8464,1.1327,0.3122
Tale 2,0.9748,1.1515,0.8302,1.4524,0.0885
Tale 3,0.9521,1.0363,1.1748,0.8788,0.7795
Tale 4,0.9698,1.1998,1.0220,1.4024,1.8574
Tale 5,0.9453,1.0868,0.9613,1.0615,0.4413
Tale 6,0.9353,0.9989,0.9919,1.2267,1.6604
Tale 7,0.9338,1.0422,0.5018,0.9455,-0.1919
Tale 8,0.9299,1.2131,0.9189,1.0582,0.7355
Tale 9,0.9531,1.1118,1.0902,0.9945,1.8379
Tale 10,0.9446,0.7878,0.8647,1.0547,1.2692
Tale 11,0.9546,1.3181,1.0415,1.4726,0.8678
Tale 12,0.9493,1.2042,0.8697,0.9450,0.0273
