Tale,Fractal Dimension (Letters),Fractal Dimension (Words),Fractal Dimension (Clauses),Fractal Dimension (Sentences),Fractal Dimension (Episodes)
Tale 1,0.9660,1.1500,1.0925,1.1597,1.8594
Tale 2,0.9949,1.3668,1.0994,1.0736,1.4906
Tale 3,0.9820,1.1938,1.1621,0.9933,1.8415
Tale 4,0.9988,1.1613,1.0025,1.0514,nan
Tale 5,0.9905,1.1996,0.6311,0.9776,0.0959
Tale 6,1.0050,1.5839,0.7265,1.0318,1.1438
Tale 7,0.9982,1.1443,1.1033,1.0237,0.6500
Tale 8,0.9885,0.7471,1.0359,1.0240,0.4000
Tale 9,0.9866,1.2622,1.1270,1.4986,1.3125
Tale 10,0.9974,0.9923,1.0678,1.1373,nan
Tale 11,0.9947,1.1789,0.9796,0.9778,0.4123
Tale 12,1.0081,0.7294,1.0743,1.4624,0.7129
